feature,mean_abs_shap
cat__addr_state_WY,0.4872204
cat__zip_code_607xx,0.4503642
cat__zip_code_719xx,0.42420048
cat__purpose_small_business,0.42410782
cat__zip_code_220xx,0.42333013
cat__zip_code_561xx,0.40269127
cat__addr_state_NE,0.37772098
cat__zip_code_744xx,0.36123037
cat__zip_code_606xx,0.31557
cat__purpose_other,0.26073006
cat__zip_code_110xx,0.25478238
cat__zip_code_935xx,0.2480385
cat__zip_code_026xx,0.24751604
cat__zip_code_808xx,0.2333696
cat__zip_code_924xx,0.22525014
cat__zip_code_891xx,0.22102119
cat__zip_code_152xx,0.21228169
cat__zip_code_731xx,0.2113138
num__loan_amnt,0.209628
cat__zip_code_912xx,0.18932183
cat__zip_code_072xx,0.1873575
cat__purpose_moving,0.18729945
num__emp_length_yrs,0.18466896
cat__zip_code_802xx,0.17476825
cat__zip_code_484xx,0.17086464
cat__zip_code_302xx,0.17023872
cat__zip_code_350xx,0.17007919
cat__zip_code_986xx,0.16968094
num__fico_n,0.16872399
cat__zip_code_170xx,0.16451378
cat__zip_code_280xx,0.16329366
cat__zip_code_941xx,0.16310488
cat__zip_code_244xx,0.15985955
cat__zip_code_201xx,0.15881743
cat__zip_code_856xx,0.15529199
cat__zip_code_106xx,0.154388
cat__zip_code_349xx,0.15290938
cat__zip_code_448xx,0.14390483
cat__zip_code_297xx,0.14263561
cat__zip_code_534xx,0.14043997
cat__zip_code_971xx,0.14025609
num__revenue,0.13669729
cat__home_ownership_n_OTHER,0.13170658
cat__zip_code_082xx,0.13018242
cat__zip_code_611xx,0.12667722
cat__zip_code_944xx,0.12584746
cat__zip_code_926xx,0.12541883
cat__zip_code_853xx,0.12295096
cat__purpose_educational,0.11859326
cat__zip_code_906xx,0.11752306
cat__zip_code_917xx,0.11402677
cat__zip_code_316xx,0.11394535
cat__zip_code_633xx,0.113703966
cat__zip_code_206xx,0.11303539
cat__purpose_medical,0.112157814
cat__zip_code_750xx,0.11211728
cat__zip_code_441xx,0.11047216
cat__addr_state_MO,0.10843519
cat__zip_code_641xx,0.10666766
cat__zip_code_017xx,0.105868764
cat__zip_code_217xx,0.10555349
cat__zip_code_021xx,0.105441086
cat__zip_code_444xx,0.104966454
cat__zip_code_754xx,0.10423189
cat__purpose_credit_card,0.10422937
cat__addr_state_NV,0.10354119
cat__zip_code_950xx,0.10218087
cat__purpose_debt_consolidation,0.09990089
cat__addr_state_TX,0.09819691
cat__addr_state_FL,0.094510555
cat__zip_code_144xx,0.0944383
cat__zip_code_570xx,0.09046393
cat__zip_code_075xx,0.09021166
cat__addr_state_PA,0.0897493
cat__zip_code_347xx,0.08969007
num__dti_n,0.088610575
cat__zip_code_905xx,0.08630864
cat__zip_code_911xx,0.08394723
cat__zip_code_720xx,0.08200547
cat__addr_state_DC,0.08170999
cat__zip_code_025xx,0.08125994
cat__zip_code_801xx,0.08083752
cat__zip_code_799xx,0.07922328
cat__zip_code_775xx,0.07565568
cat__zip_code_301xx,0.074529365
cat__zip_code_871xx,0.072519064
cat__zip_code_559xx,0.072381586
cat__zip_code_030xx,0.071874954
cat__zip_code_787xx,0.06978685
cat__zip_code_614xx,0.066051446
cat__zip_code_914xx,0.065201074
cat__zip_code_894xx,0.06517148
cat__purpose_major_purchase,0.06298768
cat__zip_code_326xx,0.061554644
cat__zip_code_336xx,0.059718627
cat__zip_code_774xx,0.058951184
cat__zip_code_863xx,0.058402307
cat__zip_code_554xx,0.05768258
cat__zip_code_080xx,0.055962276
cat__zip_code_189xx,0.05570132
