feature,perturbation,mean_abs_prob_shift,flip_rate@0.5
fico_n,-10,0.01824985258281231,0.003044871794871795
fico_n,+10,0.016093410551548004,0.001282051282051282
dti_n,-2,0.0061556678265333176,0.0005698005698005698
dti_n,+2,0.0068209064193069935,0.0009437321937321938
revenue,-10%,0.006428628694266081,0.0007656695156695156
revenue,+10%,0.005850251764059067,0.0006232193732193732
