train_until_year,test_year,roc_auc,pr_auc,brier,ece
2008,2009,0.5977431197226223,0.2020030785920417,0.12459338576712449,0.06198606390901468
2009,2010,0.6074317360824394,0.1940738687209558,0.11998046429182362,0.022377413040683292
2010,2011,0.6354415703903772,0.232273795814405,0.1252502284700981,0.012205399093235595
2011,2012,0.6368882683611101,0.24116996692317835,0.13182098019891667,0.011474129864034403
2012,2013,0.6296711637996422,0.22865535330916967,0.12821038882309288,0.012654193372544151
2013,2014,0.6397019358599525,0.2720343107981446,0.1457571131878586,0.02244534651051027
2014,2015,0.6465691465802269,0.30259366020694123,0.1549838877868924,0.02522555182938822
2015,2016,0.64298015608273,0.34156210305808565,0.17291199663762338,0.04596828886874592
2016,2017,0.6609776156083302,0.35271566993261155,0.17049795339910923,0.04153207901275993
2017,2018,0.6664789417176451,0.2574617406596682,0.12867644389556776,0.03091730156572743
