feature,mean_abs_shap
cat__purpose_small_business,0.48626933
num__loan_amnt,0.37403944
cat__addr_state_NE,0.33377865
cat__purpose_moving,0.2552118
cat__purpose_major_purchase,0.23037964
cat__purpose_other,0.19179708
cat__zip_code_566xx,0.1850795
num__dti_n,0.1699212
cat__zip_code_011xx,0.16826916
cat__zip_code_237xx,0.16666335
num__fico_n,0.16275516
cat__zip_code_293xx,0.14502612
cat__zip_code_638xx,0.14120811
num__revenue,0.13301721
cat__addr_state_OR,0.1328879
cat__zip_code_152xx,0.12906489
cat__zip_code_802xx,0.12343025
cat__zip_code_415xx,0.120971546
cat__addr_state_NH,0.11521948
cat__zip_code_495xx,0.11184744
cat__addr_state_TN,0.10676762
cat__zip_code_270xx,0.10598048
cat__purpose_educational,0.103776
cat__zip_code_944xx,0.10040996
cat__addr_state_DC,0.0980345
cat__zip_code_981xx,0.09460808
cat__zip_code_080xx,0.09437313
cat__zip_code_841xx,0.0876322
num__emp_length_yrs,0.08684815
cat__addr_state_CO,0.08456723
cat__purpose_medical,0.084506184
cat__zip_code_787xx,0.08285537
cat__zip_code_840xx,0.07875486
cat__home_ownership_n_RENT,0.078322105
cat__zip_code_891xx,0.075079
cat__zip_code_200xx,0.07503389
cat__zip_code_941xx,0.07378568
cat__zip_code_370xx,0.071858555
cat__purpose_credit_card,0.07130235
cat__zip_code_924xx,0.069146976
cat__zip_code_126xx,0.06752163
cat__addr_state_WY,0.06620865
cat__addr_state_NC,0.063782044
cat__zip_code_669xx,0.06301916
cat__zip_code_466xx,0.06199864
cat__zip_code_355xx,0.061739355
cat__zip_code_118xx,0.06095568
cat__purpose_vacation,0.05855801
cat__zip_code_980xx,0.058527313
cat__zip_code_215xx,0.057769988
cat__purpose_renewable_energy,0.057582244
cat__addr_state_WV,0.054421812
cat__zip_code_242xx,0.053466905
cat__zip_code_914xx,0.0533221
cat__zip_code_024xx,0.051569927
cat__zip_code_089xx,0.051519897
cat__zip_code_018xx,0.051175267
cat__addr_state_GA,0.050854485
cat__home_ownership_n_MORTGAGE,0.049669582
cat__zip_code_464xx,0.048676398
cat__zip_code_950xx,0.04775811
cat__zip_code_124xx,0.047284815
cat__zip_code_672xx,0.046714973
cat__zip_code_482xx,0.04575202
cat__zip_code_670xx,0.044775497
cat__zip_code_217xx,0.04422955
cat__purpose_home_improvement,0.043235287
cat__zip_code_325xx,0.042454902
cat__zip_code_082xx,0.041656703
cat__zip_code_238xx,0.041071165
cat__zip_code_438xx,0.041038644
cat__zip_code_752xx,0.04007797
cat__zip_code_710xx,0.039855633
cat__zip_code_718xx,0.03956058
cat__zip_code_151xx,0.0395106
cat__zip_code_633xx,0.03921526
cat__zip_code_100xx,0.039104056
cat__zip_code_535xx,0.038971428
cat__zip_code_021xx,0.038731065
cat__purpose_car,0.038657833
cat__addr_state_WA,0.038511805
cat__addr_state_KS,0.037350096
cat__zip_code_947xx,0.037276097
cat__addr_state_SC,0.03717492
cat__zip_code_624xx,0.036806986
cat__zip_code_668xx,0.036488764
cat__zip_code_741xx,0.036484715
cat__zip_code_207xx,0.03555217
cat__zip_code_783xx,0.03497393
cat__zip_code_146xx,0.034667257
cat__zip_code_313xx,0.034570586
cat__addr_state_MS,0.034471914
cat__zip_code_705xx,0.034271147
cat__zip_code_153xx,0.03379131
cat__addr_state_NV,0.033514757
cat__zip_code_797xx,0.033258833
cat__zip_code_258xx,0.032161772
cat__addr_state_NJ,0.032016564
cat__zip_code_815xx,0.030313464
cat__zip_code_972xx,0.030276526
