feature,psi,jsd
zip_code,0.22796012276665206,0.12251303629995416
purpose,0.04852831859640595,0.08629753543900669
addr_state,0.01608575525249976,0.05287244385985062
home_ownership_n,0.006298543148456345,0.033516120432737655
experience_c,6.602111198386914e-05,0.003337199332881226
